aX,aY,aZ,gX,gY,gZ
-0.545,-0.027,3.114,54.626,-55.786,-36.499
-0.484,-0.274,3.612,96.680,-23.071,-21.667
-0.748,-0.327,4.061,164.612,73.120,5.249
-0.798,-0.593,4.134,164.978,19.165,31.494
-0.741,-0.676,3.775,120.422,-23.621,10.010
-0.598,-0.602,3.100,59.753,-19.836,-4.333
-0.457,-0.560,2.336,-7.324,-23.437,-37.048
-0.410,-0.219,1.608,-46.814,20.203,-61.157
-0.380,0.110,1.084,-37.354,58.960,-32.776
-0.250,0.399,0.710,9.705,84.839,-2.319
-0.111,0.512,0.494,70.618,80.627,8.423
-0.028,0.437,0.284,128.113,57.434,-3.845
0.001,0.170,0.148,173.279,40.039,-18.005
-0.020,-0.206,0.002,195.129,19.165,-19.348
-0.038,-0.488,-0.135,193.054,6.958,-10.803
0.010,-0.655,-0.257,165.466,2.563,-4.700
0.033,-0.622,-0.312,140.320,1.099,-12.024
0.028,-0.461,-0.302,107.971,21.484,-33.386
0.098,-0.353,-0.314,74.890,33.997,-32.349
0.102,-0.257,-0.244,51.636,21.362,-32.471
0.113,-0.242,-0.240,48.767,3.662,-26.794
0.078,-0.276,-0.243,51.453,-0.671,-24.292
0.050,-0.253,-0.251,54.199,-2.197,-19.287
0.059,-0.187,-0.252,54.199,-1.587,-14.771
0.081,-0.074,-0.242,53.406,-3.540,-9.705
0.081,0.037,-0.184,52.856,-2.991,-5.981
0.060,0.143,-0.050,51.819,2.319,-6.226
0.074,0.198,0.009,43.091,12.573,-1.282
0.078,0.213,0.079,35.767,17.639,1.526
0.044,0.225,0.141,36.926,16.785,7.874
0.015,0.207,0.159,35.400,17.456,15.869
-0.001,0.225,0.161,26.855,18.433,21.484
-0.024,0.235,0.208,15.991,18.372,26.672
-0.026,0.299,0.226,-0.610,16.235,32.776
-0.034,0.333,0.239,-23.926,16.846,38.879
-0.078,0.357,0.250,-43.701,15.564,37.842
-0.110,0.345,0.252,-49.194,8.728,36.621
-0.162,0.300,0.269,-45.105,-0.427,30.579
-0.188,0.260,0.295,-38.147,-10.071,24.414
-0.200,0.249,0.335,-31.067,-22.339,19.714
-0.202,0.241,0.423,-25.879,-33.386,15.869
-0.216,0.231,0.530,-18.372,-40.894,8.667
-0.237,0.277,0.588,-24.536,-44.495,-0.916
-0.188,0.304,0.661,-29.297,-42.603,2.991
-0.197,0.284,0.766,-31.189,-40.833,2.563
-0.215,0.255,0.843,-30.945,-40.161,1.404
-0.244,0.183,0.913,-29.602,-36.987,2.075
-0.244,0.133,0.944,-33.325,-31.494,2.380
-0.247,0.117,0.977,-38.757,-27.832,5.127
-0.254,0.100,0.996,-49.744,-22.949,9.521
-0.248,0.089,0.988,-65.247,-18.982,10.315
-0.249,0.107,0.980,-75.684,-16.846,9.216
-0.244,0.117,0.998,-75.806,-16.541,8.850
-0.219,0.144,1.009,-70.129,-18.921,5.981
-0.246,0.145,1.060,-57.251,-21.240,1.587
-0.274,0.110,1.023,-49.072,-19.348,-1.953
-0.290,0.122,0.991,-45.349,-14.160,-10.254
-0.303,0.123,0.999,-38.513,-14.404,-13.062
-0.301,0.111,0.973,-31.311,-19.775,-11.414
-0.315,0.084,1.001,-25.146,-22.339,-1.770
-0.307,0.026,1.051,-24.170,-18.616,8.301
-0.295,-0.021,1.123,-30.273,-13.367,16.113
-0.272,-0.014,1.194,-41.687,-7.080,23.499
-0.228,0.026,1.240,-58.228,2.808,25.818
-0.197,0.053,1.264,-70.129,8.606,26.489
-0.173,0.096,1.254,-75.623,9.644,23.071
-0.187,0.142,1.237,-74.402,11.536,17.090
-0.211,0.141,1.171,-68.420,14.099,9.705
-0.225,0.119,1.091,-57.190,13.000,2.502
-0.240,0.058,1.011,-43.152,10.803,-0.977
-0.243,0.018,0.951,-32.166,7.080,-2.808
-0.249,-0.018,0.909,-23.010,3.357,-1.343
-0.240,-0.037,0.895,-20.630,1.038,0.244
-0.276,-0.031,0.947,-28.015,1.831,1.099
-0.260,-0.024,0.959,-37.476,-1.282,5.188
-0.292,-0.051,1.040,-37.659,-5.432,3.906
-0.304,-0.037,1.112,-39.307,-6.165,0.122
-0.289,-0.041,1.154,-38.330,-4.272,1.099
-0.371,-0.012,1.184,-21.362,59.021,-14.526
-0.360,-0.029,1.236,-19.592,50.903,-7.629
-0.306,0.005,1.206,-25.940,20.996,-7.141
-0.291,0.042,1.107,-21.912,20.874,-9.705
-0.302,0.058,1.046,-14.465,15.930,-14.893
-0.306,0.027,0.995,-5.310,11.902,-17.273
-0.320,-0.005,0.992,6.714,9.521,-16.479
-0.311,-0.058,0.979,14.954,9.216,-12.756
-0.289,-0.098,0.981,14.771,13.733,-8.362
-0.259,-0.109,0.964,6.348,18.433,-5.920
-0.238,-0.120,0.968,-0.671,22.583,-3.906
-0.246,-0.126,0.974,-7.019,11.536,2.686
-0.238,-0.129,0.992,-15.747,0.977,5.859
-0.235,-0.105,0.948,-21.179,6.226,3.845
-0.237,-0.087,0.916,-27.283,1.831,2.991
-0.234,-0.075,0.869,-30.823,-4.272,2.869
-0.231,-0.082,0.828,-25.146,-8.484,3.174
-0.233,-0.090,0.824,-19.043,-17.883,6.104
-0.231,-0.110,0.838,-19.226,-23.865,6.592
-0.210,-0.115,0.835,-19.348,-25.208,8.057
-0.209,-0.090,0.806,-19.226,-27.771,7.874
-0.216,-0.068,0.777,-21.240,-28.198,7.263
-0.235,-0.066,0.790,-20.691,-25.452,6.226
-0.256,-0.067,0.800,-13.062,-26.123,4.028
-0.281,-0.038,0.821,0.854,-32.532,4.028
-0.279,-0.101,0.840,7.202,-36.621,7.935
-0.274,-0.117,0.896,7.141,-32.043,3.235
-0.264,-0.087,0.916,3.601,-29.541,1.648
-0.259,-0.098,0.922,-4.028,-30.640,2.380
-0.264,-0.097,0.928,-5.737,-32.471,1.404
-0.266,-0.079,0.925,-7.019,-28.748,-0.610
-0.263,-0.068,0.922,-9.155,-24.475,-1.953
-0.265,-0.064,0.908,-12.573,-15.381,-2.686
-0.282,-0.071,0.897,-17.029,-4.333,-4.395
-0.292,-0.079,0.908,-25.330,-5.371,-5.920
-0.290,-0.081,0.916,-34.241,-10.620,-5.127
-0.280,-0.085,0.919,-34.973,-9.460,-3.235
-0.265,-0.096,0.912,-23.743,-13.489,-1.648
-0.259,-0.082,0.965,-11.353,-11.841,-0.427
-0.267,-0.089,1.030,-6.287,-5.371,2.380
-0.284,-0.102,1.090,-5.249,3.784,3.967

-0.565,-0.402,2.604,20.691,-92.712,-66.162
-0.524,-0.431,2.830,27.100,-93.140,-75.989
-0.545,-0.658,3.455,58.777,-86.304,-53.101
-0.515,-0.831,3.769,79.346,-50.964,-8.118
-0.313,-0.805,3.836,91.614,-23.682,28.564
-0.250,-0.804,3.634,98.938,7.019,37.476
-0.259,-0.769,3.174,83.191,58.777,29.785
-0.119,-0.683,2.509,42.297,95.398,31.982
-0.091,-0.435,1.849,8.484,109.131,28.625
-0.084,-0.076,1.321,26.550,107.849,22.034
0.004,0.252,0.940,73.303,99.609,19.897
0.086,0.394,0.654,125.183,86.243,13.794
0.149,0.398,0.343,167.114,68.359,-7.263
0.138,0.268,0.014,203.857,45.959,-41.870
0.069,0.026,-0.266,251.404,13.489,-65.369
0.005,-0.251,-0.372,296.021,-13.245,-74.585
-0.047,-0.463,-0.380,304.565,-27.771,-67.749
-0.068,-0.540,-0.524,269.104,-39.734,-51.941
-0.052,-0.500,-0.696,195.251,-41.687,-34.973
-0.042,-0.427,-0.728,107.361,-34.363,-22.034
-0.030,-0.336,-0.650,35.767,-30.701,-18.188
-0.045,-0.216,-0.457,3.601,-28.625,-22.705
-0.006,-0.118,-0.322,6.226,-26.917,-22.034
0.018,-0.034,-0.215,17.883,-28.198,-23.926
0.036,0.015,-0.203,21.240,-26.978,-25.085
0.032,0.025,-0.221,16.907,-17.517,-24.902
0.036,0.051,-0.229,6.592,-7.019,-23.987
0.042,0.092,-0.219,3.357,-7.629,-21.057
0.029,0.117,-0.117,8.423,-11.536,-13.916
0.041,0.152,0.008,12.268,-7.629,-5.554
0.060,0.140,0.116,14.160,-2.808,4.089
0.055,0.137,0.202,11.292,-1.831,9.888
0.021,0.110,0.298,6.653,-1.160,14.771
0.011,0.135,0.332,-3.784,-2.075,21.790
0.009,0.157,0.341,-17.883,-3.662,26.489
-0.011,0.209,0.398,-32.776,-5.371,25.818
-0.030,0.253,0.436,-44.495,-7.812,24.170
-0.080,0.256,0.453,-49.866,-10.803,22.705
-0.106,0.238,0.501,-44.678,-12.878,20.508
-0.125,0.215,0.590,-31.860,-13.550,18.127
-0.155,0.184,0.604,-21.606,-20.142,20.630
-0.125,0.192,0.645,-17.700,-21.423,23.560
0.003,0.221,0.663,-20.264,-26.855,19.470
-0.090,0.290,0.862,-16.113,-26.428,10.803
-0.079,0.293,0.963,-19.226,-17.883,14.893
-0.112,0.246,1.030,-26.917,-14.832,16.785
-0.149,0.170,1.026,-34.912,-9.949,15.564
-0.183,0.141,1.019,-47.058,-1.465,14.893
-0.186,0.142,0.978,-52.551,4.089,17.212
-0.188,0.174,0.962,-49.255,3.662,18.555
-0.174,0.187,0.939,-43.945,1.709,24.170
-0.139,0.228,0.968,-41.870,-2.625,25.879
-0.146,0.211,1.052,-31.860,-10.437,29.114
-0.182,0.153,1.164,-22.034,-9.155,39.368
-0.119,0.108,1.216,-16.174,-3.906,44.800
-0.118,0.087,1.266,-18.616,4.822,50.232
-0.127,0.097,1.275,-25.269,12.756,54.077
-0.137,0.135,1.231,-32.715,15.381,49.927
-0.115,0.174,1.157,-32.349,20.813,45.166
-0.130,0.221,1.071,-31.494,18.677,33.752
-0.161,0.238,0.998,-32.043,17.639,21.851
-0.168,0.211,0.937,-25.513,15.625,20.447
-0.161,0.108,0.916,-15.381,10.620,20.630
-0.166,0.070,0.938,-14.587,1.160,19.714
-0.164,0.019,0.964,-14.221,-4.089,24.780
-0.158,-0.033,0.964,-18.738,-4.456,33.081
-0.183,-0.018,1.044,-26.917,-0.916,26.978
-0.156,-0.026,1.048,-28.259,6.531,30.762
-0.133,0.026,1.021,-38.208,8.179,26.489
-0.104,0.068,0.989,-44.128,11.963,21.729
-0.094,0.100,0.950,-40.527,14.343,14.893
-0.082,0.089,0.897,-32.715,7.812,13.367
-0.113,0.115,0.844,-25.330,-10.498,-5.371
-0.080,0.125,0.847,-19.043,-8.484,7.263
-0.088,0.110,0.892,-13.611,-7.019,13.306
-0.125,0.078,0.917,-10.864,-5.981,16.479
-0.138,0.072,0.916,-13.367,-2.319,18.860
-0.158,0.093,0.923,-19.287,-0.427,18.921
-0.135,0.143,0.925,-23.315,3.601,21.667
-0.156,0.122,0.948,-22.522,5.249,22.339
-0.137,0.155,0.948,-15.991,9.155,23.682
-0.121,0.170,0.911,-9.644,10.864,26.672
-0.121,0.188,0.855,-9.949,12.451,24.231
-0.112,0.210,0.822,-13.977,12.085,17.700
-0.132,0.195,0.843,-11.780,11.597,12.939
-0.158,0.157,0.884,-4.395,11.475,15.930
