aX,aY,aZ,gX,gY,gZ
-0.140,-0.155,0.891,-11.475,0.244,19.287
-0.142,-0.153,0.907,-7.935,-0.732,20.264
-0.133,-0.154,0.917,-3.296,-2.380,22.034

1.547,-0.709,1.280,31.128,-78.430,22.156
1.639,-0.694,1.314,32.898,-81.360,5.615
1.802,-0.664,1.296,32.349,-80.139,-32.227
1.824,-0.578,1.286,38.879,-76.660,-78.796
1.766,-0.459,1.296,50.232,-66.833,-117.676
1.655,-0.363,1.287,57.434,-46.326,-145.874
1.496,-0.298,1.251,67.688,-22.705,-156.616
1.366,-0.232,1.171,74.829,-2.075,-156.311
1.207,-0.205,1.052,77.759,12.146,-158.447
0.967,-0.184,0.969,73.425,14.038,-172.302
0.631,-0.200,0.867,65.125,5.615,-189.514
0.257,-0.265,0.775,51.147,-11.475,-204.407
-0.109,-0.369,0.780,38.574,-28.564,-213.745
-0.466,-0.545,0.818,26.306,-36.926,-218.384
-0.781,-0.711,0.844,11.536,-38.025,-221.985
-0.995,-0.784,0.797,-3.296,-37.109,-220.764
-1.062,-0.758,0.708,-13.489,-16.479,-213.562
-1.075,-0.706,0.611,-6.042,-2.319,-195.984
-1.103,-0.711,0.552,6.348,6.165,-182.556
-1.111,-0.655,0.579,13.184,6.775,-180.603
-1.113,-0.568,0.631,4.089,9.460,-183.777
-1.104,-0.478,0.704,-12.756,13.245,-182.434
-1.066,-0.363,0.785,-20.142,11.902,-171.082
-1.024,-0.231,0.869,-18.677,3.296,-150.757
-0.990,-0.135,0.920,-13.550,0.244,-130.310
-1.015,-0.088,0.945,-3.357,3.601,-112.549
-1.051,-0.091,0.949,5.981,10.193,-94.849
-1.076,-0.118,0.929,14.648,19.531,-75.073
-1.061,-0.165,0.880,16.113,33.386,-54.626
-1.000,-0.187,0.804,10.498,43.213,-39.978
-0.928,-0.209,0.714,7.324,44.861,-26.001
-0.865,-0.221,0.633,5.554,40.039,-16.785
-0.801,-0.224,0.605,1.404,34.973,-10.315
-0.764,-0.240,0.592,-5.493,27.710,-3.784
-0.753,-0.246,0.639,-13.550,25.635,0.488
-0.730,-0.232,0.696,-21.851,26.611,5.005
-0.669,-0.214,0.726,-27.405,28.809,11.963
-0.592,-0.178,0.759,-34.607,34.973,17.944
-0.532,-0.140,0.794,-37.415,37.476,24.719
-0.461,-0.125,0.796,-33.813,32.654,31.555
-0.409,-0.114,0.799,-31.738,36.804,36.255
-0.374,-0.107,0.849,-31.860,33.875,35.828
-0.334,-0.111,0.825,-27.222,23.926,38.940
-0.316,-0.124,0.843,-21.240,22.888,42.419
-0.288,-0.127,0.865,-20.325,22.095,42.175
-0.286,-0.139,0.913,-20.630,21.729,41.138
-0.274,-0.161,0.945,-22.034,19.226,39.490
-0.264,-0.165,0.972,-18.860,15.076,38.818
-0.255,-0.167,0.998,-14.465,11.475,38.391
-0.250,-0.178,1.013,-10.498,7.690,38.513
-0.248,-0.185,1.026,-9.277,4.639,38.574
-0.253,-0.192,1.025,-10.193,3.357,38.147
-0.271,-0.191,1.023,-11.780,2.197,37.598
-0.293,-0.193,1.017,-13.733,0.671,37.964
-0.316,-0.189,1.003,-16.724,0.916,39.673
-0.311,-0.180,0.966,-18.555,2.319,42.236
-0.308,-0.167,0.943,-17.944,2.625,44.556
-0.307,-0.155,0.930,-12.695,-0.427,48.462
-0.311,-0.152,0.919,-8.301,-5.127,50.049
-0.323,-0.161,0.906,-4.761,-9.949,51.208
-0.321,-0.171,0.881,-3.418,-13.428,51.758
-0.315,-0.188,0.856,-1.526,-15.930,53.162
-0.320,-0.204,0.862,0.305,-16.663,54.260
-0.317,-0.212,0.875,1.221,-20.874,55.359
-0.299,-0.205,0.884,2.319,-23.010,57.007
-0.292,-0.191,0.927,-0.061,-20.081,57.434
-0.303,-0.205,0.967,-4.883,-14.526,55.908
-0.320,-0.209,1.010,-9.521,-9.033,55.481
-0.330,-0.223,1.031,-11.780,-6.226,56.824
-0.331,-0.226,1.037,-13.184,0.061,57.983
-0.319,-0.231,1.019,-15.381,4.333,57.983
-0.306,-0.210,0.976,-16.052,5.981,55.298
-0.291,-0.188,0.934,-14.282,6.226,53.894
-0.262,-0.169,0.875,-11.353,5.371,54.016
-0.216,-0.163,0.789,-8.545,3.662,56.152
-0.190,-0.144,0.744,-5.737,-0.793,55.969
-0.158,-0.133,0.725,-2.686,-6.042,59.509
-0.148,-0.116,0.758,1.465,-10.986,62.073
-0.156,-0.109,0.813,0.793,-12.878,62.195
-0.169,-0.112,0.862,-3.540,-11.841,60.852
-0.183,-0.125,0.899,-7.324,-9.583,60.547
-0.176,-0.132,0.896,-11.597,-6.165,59.326
-0.158,-0.140,0.872,-15.381,-4.944,57.495
-0.126,-0.138,0.847,-18.311,-6.470,54.504
-0.095,-0.131,0.838,-19.714,-8.789,51.575
-0.070,-0.139,0.843,-20.203,-10.681,49.561
-0.070,-0.142,0.856,-21.362,-11.902,46.204
-0.076,-0.151,0.883,-23.132,-11.658,44.739
-0.080,-0.152,0.894,-23.804,-10.620,45.593
-0.062,-0.150,0.890,-24.658,-7.751,46.326
-0.043,-0.128,0.884,-23.926,-5.737,46.814
-0.020,-0.111,0.879,-21.423,-6.226,46.082
-0.012,-0.115,0.885,-16.113,-9.521,45.410
-0.023,-0.151,0.902,-12.451,-13.000,48.218
-0.026,-0.168,0.908,-12.024,-13.672,42.664
-0.017,-0.188,0.907,-14.587,-8.728,39.490
-0.020,-0.207,0.893,-17.273,-9.399,36.133
-0.008,-0.213,0.890,-18.921,-9.949,32.959
-0.005,-0.214,0.898,-17.883,-14.465,28.748
-0.015,-0.208,0.896,-17.578,-15.503,26.123
-0.019,-0.198,0.900,-17.273,-5.493,29.663
-0.016,-0.181,0.894,-12.878,-2.991,33.386
-0.012,-0.157,0.884,-11.780,2.197,35.156
-0.011,-0.150,0.871,-12.329,7.385,35.583
-0.015,-0.138,0.867,-9.094,9.399,36.499
-0.003,-0.138,0.865,-6.592,7.874,36.133
-0.014,-0.127,0.869,-5.188,5.798,34.546
-0.039,-0.148,0.891,-4.211,6.287,30.457
-0.072,-0.180,0.925,-1.526,3.784,27.771
-0.082,-0.198,0.923,-4.883,2.991,24.048
-0.071,-0.202,0.905,-10.376,5.432,20.691
-0.071,-0.187,0.894,-11.719,6.042,20.264
-0.069,-0.183,0.893,-11.353,5.859,20.569
-0.071,-0.180,0.888,-11.536,4.883,19.226
-0.079,-0.177,0.896,-12.146,3.906,17.700
-0.083,-0.180,0.897,-10.742,2.502,17.517
-0.087,-0.176,0.895,-8.179,1.648,18.677
-0.089,-0.179,0.891,-5.981,2.014,20.691
-0.102,-0.170,0.909,-3.174,0.488,21.301

1.627,-0.551,1.500,24.292,-2.136,18.250
2.001,-0.721,1.609,36.438,-3.235,1.526
2.091,-0.797,1.625,47.302,-7.568,-14.648
2.109,-0.850,1.613,68.970,-15.137,-60.364
1.942,-0.845,1.545,84.839,-22.644,-97.900
1.769,-0.761,1.399,97.046,-29.480,-130.737
1.579,-0.638,1.209,112.061,-30.396,-148.865
1.393,-0.556,0.984,111.633,-26.733,-160.339
1.114,-0.463,0.772,87.036,-24.597,-175.781
0.713,-0.392,0.707,60.547,-33.447,-177.490
0.187,-0.396,0.664,29.663,-40.955,-177.002
-0.266,-0.352,0.823,0.183,-35.278,-176.514
-0.595,-0.332,0.992,-26.306,-26.306,-167.114
-0.748,-0.333,0.919,-49.805,-4.089,-157.288
-0.812,-0.339,0.725,-51.392,10.437,-150.574
-0.815,-0.302,0.472,-28.870,3.479,-144.714
-0.891,-0.291,0.261,7.568,-20.569,-140.015
-0.998,-0.367,0.212,61.707,-49.683,-126.099
-1.163,-0.518,0.259,99.670,-77.637,-112.732
-1.258,-0.624,0.342,89.294,-83.130,-111.816
-1.342,-0.576,0.521,45.715,-66.345,-118.896
-1.352,-0.485,0.709,-7.568,-40.466,-119.873
-1.331,-0.387,0.867,-41.321,-17.090,-118.103
-1.320,-0.313,1.032,-48.462,-0.366,-113.159
